"obs","study","author","year","class","order","family","genus","species","variable","fitness.estimate","treatment","estimated.increase.in.harm","X_C","sd_C","N_C","X_T","sd_T","N_T","SMDH","v_SMDH","logCVR","v_logCVR","logVR","v_logVR","SME_index","Male.measure","Female.measure","SCR.SCI","Sperm.compet","Harm_type","Parental.care","Gestation","depend","shared.control","source","M_lifespan","F_lifespan","SSD","SSD_lnRR"
12,4,"Kolodziejczyk",2003,"Arachnida","Sarcoptiformes","Acaridae","Rhizoglyphus","Rhizoglyphus robini","longevity","direct","male access","10x",33.6486486486487,18.0102742368404,58,33.2432432432433,15.9519571812014,58,0.023672992076518,0.0346288417529998,0.109239496471927,0.0264533205661672,0.121360857004272,0.0175438596491228,0,0.55,0.73,"High","yes","both","no","oviparous",1,0,"fig1",67.5,35.5,-0.18,-0.28312625591592
13,4,"Kolodziejczyk",2003,"Arachnida","Sarcoptiformes","Acaridae","Rhizoglyphus","Rhizoglyphus robini","longevity","direct","male access","10x",34.9324324324324,19.5540120285694,58,34.4594594594595,17.4956949729305,58,0.025324352335521,0.0346291906465762,0.0975934863201692,0.0273906962608468,0.111225635110225,0.0175438596491228,0,0.55,0.73,"High","yes","both","no","oviparous",2,0,"fig1",67.5,35.5,-0.18,-0.28312625591592
14,6,"Iglesias-carrasco",2019,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia holbrooki","reproductive success (nº offspring)","direct","male harassment",NA,6.26666666666667,6.77696633658993,45,0.976744186046512,2.18750098876738,43,1.04133390981797,0.05490673492939,-0.7285464365376,0.165902192810897,1.13022864204039,0.0232683982683983,1,27,44,"High","yes","indirect","no","viviparous",1,1,"data",419.13,632.84,-17,-0.488352767913932
15,6,"Iglesias-carrasco",2019,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia holbrooki","reproductive success (nº offspring)","direct","male harassment",NA,6.26666666666667,6.77696633658993,45,1.2,2.26233989890596,46,0.994423460136144,0.053641815400334,-0.555540571455966,0.125730708883867,1.09738245291787,0.0224747474747475,1,27,44,"High","yes","indirect","no","viviparous",2,1,"data",419.13,632.84,-17,-0.488352767913932
16,6,"Iglesias-carrasco",2019,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia holbrooki","female growth (BC)","indirect","male harassment",NA,6.73333333333333,7.0723533437026,45,2.35548837209302,1.53289737133705,43,0.848057877880853,0.0521007450512353,0.478170277861189,0.0576337937568874,1.5284925109465,0.0232683982683983,1,27,44,"High","yes","indirect","no","viviparous",1,2,"data",419.13,632.84,-17,-0.488352767913932
17,6,"Iglesias-carrasco",2019,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia holbrooki","female growth (BC)","indirect","male harassment",NA,6.73333333333333,7.0723533437026,45,2.6418,1.28338757343071,46,0.798204785141477,0.0513361948211742,0.771332876617762,0.052121539988988,1.70694268934918,0.0224747474747475,1,27,44,"High","yes","indirect","no","viviparous",2,2,"data",419.13,632.84,-17,-0.488352767913932
18,6,"Iglesias-carrasco",2019,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia holbrooki","immune response","indirect","male harassment",NA,0.368133333333334,0.150763752576371,45,0.252930232558139,0.148303003108154,43,0.763649820624785,0.0490399579910422,-0.359416066882382,0.0349907098941441,0.0159154344467125,0.0232683982683983,1,27,44,"High","yes","indirect","no","viviparous",1,3,"data",419.13,632.84,-17,-0.488352767913932
19,6,"Iglesias-carrasco",2019,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia holbrooki","immune response","indirect","male harassment",NA,0.368133333333334,0.150763752576371,45,0.276260869565217,0.132848189848013,46,0.641118991006794,0.0465680815387425,-0.160340054665342,0.0312289150759777,0.126759537822239,0.0224747474747475,1,27,44,"High","yes","indirect","no","viviparous",2,3,"data",419.13,632.84,-17,-0.488352767913932
20,6,"Iglesias-carrasco",2019,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia holbrooki","reproductive success (nº offspring)","direct","male harassment",NA,5.58,6.07803002457144,50,1.24444444444444,2.26791409525016,45,0.937483957344716,0.0476617605919187,-0.515839004074466,0.119102805189038,0.984660571353928,0.0215677179962894,1,27,44,"High","yes","indirect","no","viviparous",3,4,"data",419.13,632.84,-17,-0.488352767913932
21,6,"Iglesias-carrasco",2019,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia holbrooki","reproductive success (nº offspring)","direct","male harassment",NA,5.58,6.07803002457144,50,1.56521739130435,2.81781770495493,47,0.840785859563837,0.0456825008671694,-0.503111624963698,0.113760113620182,0.76805242890256,0.0210736468500444,1,27,44,"High","yes","indirect","no","viviparous",4,4,"data",419.13,632.84,-17,-0.488352767913932
22,6,"Iglesias-carrasco",2019,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia holbrooki","female growth (BC)","indirect","male harassment",NA,3.5826,1.57747563776913,50,2.56426666666667,1.38251824581088,45,0.681022547977645,0.0446091265345327,-0.203656590995313,0.031904838109158,0.130759664993018,0.0215677179962894,1,27,44,"High","yes","indirect","no","viviparous",3,5,"data",419.13,632.84,-17,-0.488352767913932
23,6,"Iglesias-carrasco",2019,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia holbrooki","female growth (BC)","indirect","male harassment",NA,3.5826,1.57747563776913,50,2.48258695652174,1.30400641743627,47,0.754070423770245,0.0442537620003185,-0.177068646351246,0.0308214049611027,0.189719003320568,0.0210736468500444,1,27,44,"High","yes","indirect","no","viviparous",4,5,"data",419.13,632.84,-17,-0.488352767913932
24,6,"Iglesias-carrasco",2019,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia holbrooki","immune response","indirect","male harassment",NA,0.38952,0.155385792432243,50,0.300444444444444,0.162346368713142,45,0.556026493212892,0.0441912657285741,-0.304633030086343,0.0312388985073177,-0.0449806780385317,0.0215677179962894,1,27,44,"High","yes","indirect","no","viviparous",3,6,"data",419.13,632.84,-17,-0.488352767913932
25,6,"Iglesias-carrasco",2019,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia holbrooki","immune response","indirect","male harassment",NA,0.38952,0.155385792432243,50,0.280663043478261,0.138011273869115,47,0.734881575037564,0.0441462559070163,-0.209850247750738,0.0294010366144894,0.117910147855163,0.0210736468500444,1,27,44,"High","yes","indirect","no","viviparous",4,6,"data",419.13,632.84,-17,-0.488352767913932
26,7,"Smith",2006,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia affinis","reproductive success (nº offspring)","direct","OSR","3x",77.3061224489796,18.5864482883366,10,87.4285714285714,32.0099942743574,10,-0.370365325734305,0.20815010625354,-0.420566469327308,0.130296532418156,-0.543615446588979,0.111111111111111,1,40,64,"Low","no","indirect","no","viviparous",1,1,"fig1",365,540,-24,-0.470003629245736
27,7,"Smith",2006,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia affinis","mortality","direct","OSR","3x",21,18.9736659610103,10,25,18.9736659610103,10,-0.201889593501145,0.204835370656276,0.174353387144778,0.250343764172336,0,0.111111111111111,1,40,64,"Low","no","indirect","no","viviparous",1,2,"text",365,540,-24,-0.470003629245736
28,7,"Smith",2006,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia affinis","female growth (BC)","indirect","OSR","3x",8.69230769230769,0.973008510821041,10,9.89230769230769,1.16761021298524,10,-1.06927616050205,0.233870634607276,-0.053002563702772,0.113757304331921,-0.18232155679395,0.111111111111111,1,40,64,"Low","no","indirect","no","viviparous",1,3,"fig1",365,540,-24,-0.470003629245736
29,7,"Smith",2006,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia affinis","reproductive success (nº offspring)","direct","OSR","3x",57.0612244897959,13.4235459860209,10,77.3061224489796,18.5864482883366,10,-1.19588225128975,0.243830441822108,-0.0217740494823553,0.122425774138687,-0.325422400434624,0.111111111111111,1,40,64,"Low","no","indirect","no","viviparous",2,1,"fig1",365,540,-24,-0.470003629245736
30,7,"Smith",2006,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia affinis","mortality","direct","OSR","3x",40,22.1359436211787,10,21,18.9736659610103,10,0.882600824019634,0.224105553344411,-0.490206336563255,0.223368764172336,0.154150679827258,0.111111111111111,1,40,64,"Low","no","indirect","no","viviparous",2,2,"text",365,540,-24,-0.470003629245736
31,7,"Smith",2006,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia affinis","female growth (BC)","indirect","OSR","3x",8.29230769230769,1.31356148960841,10,8.69230769230769,0.973008510821041,10,-0.331395469957144,0.20683231631993,0.347214752687782,0.114873430847587,0.300104592450339,0.111111111111111,1,40,64,"Low","no","indirect","no","viviparous",2,3,"fig1",365,540,-24,-0.470003629245736
32,8,"Fox",2019,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia holbrooki","reproductive success","direct","male harassment",NA,0.0789473684210526,0.273276312733094,38,2.86842105263158,3.55018882353996,38,-1.09663292924211,0.0686955145558679,1.02846294065213,0.382654264398226,-2.56427265290891,0.027027027027027,1,27,44,"High","yes","indirect","no","viviparous",0,0,"data",419.13,632.84,-17,-0.488352767913932
33,8,"Fox",2019,"Actinopterygii","Cyprinodontiformes","Poecilidae","Gambusia","Gambusia holbrooki","reproductive success","direct","male harassment",NA,0.41025641025641,0.909538596673835,39,3,3.07179059115322,40,-1.13204615477953,0.0641159406956321,0.772844103774727,0.178217194294498,-1.21674110878325,0.0259784075573549,1,27,44,"High","yes","indirect","no","viviparous",0,0,"data",419.13,632.84,-17,-0.488352767913932
34,9,"Makowicz",2013,"Actinopterygii","Cyprinodontiformes","Poecilidae","Poecilia","Poecilia latipinna","female weight (BC)","indirect","OSR","3x",2.05,1.07,10,2.42,0.79,10,-0.37675410946032,0.207726410074376,0.469308729013163,0.149011136103471,0.303380981994885,0.111111111111111,1,33,36,"High","yes","indirect","no","viviparous",0,1,"text",540,730,-3,-0.0870113769896298
35,9,"Makowicz",2013,"Actinopterygii","Cyprinodontiformes","Poecilidae","Poecilia","Poecilia latipinna","female weight (BC)","indirect","OSR","6x",2.05,1.07,10,2.13,1.26,10,-0.0655435699250303,0.203909350344982,-0.125170885918555,0.173347475599286,-0.163453072489572,0.111111111111111,1,33,36,"High","yes","indirect","no","viviparous",0,1,"text",540,730,-3,-0.0870113769896298
36,10,"Gasparini",2012,"Actinopterygii","Cyprinodontiformes","Poecilidae","Poecilia","Poecilia reticulata","female weight (BC)","indirect","male harassment","NA (8x)",0.4,0.0556776436283002,31,0.42,0.1113552872566,31,-0.224331046468355,0.065558478910515,-0.644357016390514,0.0362259070294785,-0.693147180559945,0.0333333333333333,1,20.1,22.7,"High","yes","indirect","no","viviparous",1,0,"text",540,730,-2.6,-0.121645109422327
37,10,"Gasparini",2012,"Actinopterygii","Cyprinodontiformes","Poecilidae","Poecilia","Poecilia reticulata","reproductive sucess (nº offspring)","direct","male harassment","NA (8x)",72.16,65.5882641941377,31,85.06,79.3406421703278,31,-0.17499612813403,0.0652600026765042,-0.0258827144200996,0.0880492527768781,-0.190353728491219,0.0333333333333333,1,20.1,22.7,"High","yes","indirect","no","viviparous",1,0,"text",540,730,-2.6,-0.121645109422327
38,10,"Gasparini",2012,"Actinopterygii","Cyprinodontiformes","Poecilidae","Poecilia","Poecilia reticulata","survival","direct","male harassment","NA (8x)",211.1,120.764809029783,31,208.2,113.972136507131,31,0.0243879348037803,0.0650072226328405,0.0440581264921788,0.0535569956049965,0.057890925165585,0.0333333333333333,1,20.1,22.7,"High","yes","indirect","no","viviparous",1,0,"text",540,730,-2.6,-0.121645109422327
39,11,"Lange",2012,"Gastropoda","Cephalaspidea","Gastropteridae","Siphopteron","Siphopteron quadrispinosum","fecundity (nº eggs)","direct","mating rate","3x",1451.47679324895,1409.56059818481,31,1628.69198312236,1127.64847854786,31,-0.137094649243287,0.0651624469063887,0.338339263405632,0.0792186853576945,0.223143551314205,0.0333333333333333,0,NA,NA,"hermaphrodite","hermaphrodite","direct","no","oviparous",1,1,"fig2b",NA,NA,NA,NA
40,11,"Lange",2012,"Gastropoda","Cephalaspidea","Gastropteridae","Siphopteron","Siphopteron quadrispinosum","fecundity","direct","mating rate","9x",1451.47679324895,1409.56059818481,31,1181.43459915612,939.70706545655,31,0.222598734470577,0.0654645415286732,0.199613053904006,0.084163346247098,0.405465108108156,0.0333333333333333,0,NA,NA,"hermaphrodite","hermaphrodite","direct","no","oviparous",2,1,"fig2b",NA,NA,NA,NA
41,11,"Lange",2012,"Gastropoda","Cephalaspidea","Gastropteridae","Siphopteron","Siphopteron quadrispinosum","eggs per egg mass","direct","mating rate","3x",355.128205128205,385.460609734386,31,433.333333333333,328.35533421818,31,-0.21567703653231,0.0653898879587275,0.359371039370861,0.0898589775747194,0.160342650075182,0.0333333333333333,0,NA,NA,"hermaphrodite","hermaphrodite","direct","no","oviparous",1,2,"fig2b",NA,NA,NA,NA
42,11,"Lange",2012,"Gastropoda","Cephalaspidea","Gastropteridae","Siphopteron","Siphopteron quadrispinosum","eggs per egg mass","direct","mating rate","9x",355.128205128205,385.460609734386,31,292.307692307692,221.282942625296,31,0.197375193276047,0.0653993977961522,0.360324964846229,0.0898236745036569,0.554996842079128,0.0333333333333333,0,NA,NA,"hermaphrodite","hermaphrodite","direct","no","oviparous",2,2,"fig2b",NA,NA,NA,NA
43,12,"Smolensky",2009,"Gastropoda","Limapontioidea","Limapontiidae","Alderia","Alderia willowi","fecundity (nº eggs)","direct","mating rate/interactions",NA,395.765472312704,178.724984489717,6,269.381107491857,52.4419851400602,5,0.87695140975285,0.395640650594954,0.816446050485005,0.266569132788723,1.20114071123596,0.225,0,NA,NA,"hermaphrodite","hermaphrodite","direct","no","oviparous",1,1,"fig3a",NA,NA,NA,NA
44,12,"Smolensky",2009,"Gastropoda","Limapontioidea","Limapontiidae","Alderia","Alderia willowi","fecundity (nº eggs)","direct","mating rate/interactions",NA,278.501628664495,76.5964219241647,6,296.742671009772,113.624301136797,5,-0.172041247421309,0.39319094056017,-0.35590560906152,0.266930228924484,-0.419347037384719,0.225,0,NA,NA,"hermaphrodite","hermaphrodite","direct","no","oviparous",1,1,"fig3a",NA,NA,NA,NA
45,12,"Smolensky",2009,"Gastropoda","Limapontioidea","Limapontiidae","Alderia","Alderia willowi","fecundity (nº eggs)","direct","mating rate/interactions",NA,529.677419354839,265.493081798436,6,340,116.129032258065,9,0.871050924866066,0.381267462369986,0.421064302216012,0.217335099935676,0.864386863127079,0.1625,0,NA,NA,"hermaphrodite","hermaphrodite","direct","no","oviparous",2,2,"fig3b",NA,NA,NA,NA
46,12,"Smolensky",2009,"Gastropoda","Limapontioidea","Limapontiidae","Alderia","Alderia willowi","fecundity (nº eggs)","direct","mating rate/interactions",NA,283.870967741936,94.8189577851557,6,214.193548387097,110.322580645161,9,0.637401737361416,0.291720745734819,-0.395579017662347,0.210571380413619,-0.113939259666528,0.1625,0,NA,NA,"hermaphrodite","hermaphrodite","direct","no","oviparous",2,2,"fig3b",NA,NA,NA,NA
47,12,"Smolensky",2009,"Gastropoda","Limapontioidea","Limapontiidae","Alderia","Alderia willowi","fecundity (nº eggs)","direct","mating rate/interactions",NA,313.333333333333,100,9,388.333333333333,149.248115565993,11,-0.565390267546922,0.20636567681292,-0.173343449445657,0.137245472774969,-0.387939940181409,0.1125,0,NA,NA,"hermaphrodite","hermaphrodite","direct","no","oviparous",3,3,"fig3c",NA,NA,NA,NA
48,12,"Smolensky",2009,"Gastropoda","Limapontioidea","Limapontiidae","Alderia","Alderia willowi","fecundity (nº eggs)","direct","mating rate/interactions",NA,355,115,9,240,105.026451694587,11,1.00002859322724,0.234943030941608,-0.288258977101784,0.141569280434389,0.10321988903164,0.1125,0,NA,NA,"hermaphrodite","hermaphrodite","direct","no","oviparous",3,3,"fig3c",NA,NA,NA,NA
49,13,"Kimura",2015,"Gastropoda","Stylommatophora","Brdybaenidae","Bradybaena","Bradybaena pellucida","fecundity","direct","love darts or not",NA,132.432432432432,26.1954261954262,25,95.7588357588357,18.9189189189189,25,1.57983047242269,0.108411171033607,0.00118273224905134,0.0447930257790769,0.325422400434627,0.0416666666666667,0,NA,NA,"hermaphrodite","hermaphrodite","direct","no","oviparous",1,0,"fig2",NA,NA,NA,NA
50,13,"Kimura",2015,"Gastropoda","Stylommatophora","Brdybaenidae","Bradybaena","Bradybaena pellucida","survival","direct","love darts or not",NA,60.28,24.4,25,44,17.25,25,0.758369612255599,0.0871834007209935,0.0319602489817539,0.0543684517916243,0.346770988821787,0.0416666666666667,0,NA,NA,"hermaphrodite","hermaphrodite","direct","no","oviparous",1,0,"text",NA,NA,NA,NA
51,14,"Sakurai",2008,"Insecta","Coleoptera","Chrysomelidae","Callosobruchus","Callosobruchus chinensis","reproductive success (nº offspring)","direct","harassment & mating rate",NA,68.42,7.31,24,58.57,10.11,23,1.09782189567501,0.100977227600619,-0.480712461010951,0.0462374802232644,-0.325269901563183,0.0444664031620553,0,1.78,1.89,"Low","yes","both","no","oviparous",1,1,"text",10.08,9.08,-0.11,-0.0599634647675572
52,14,"Sakurai",2008,"Insecta","Coleoptera","Chrysomelidae","Callosobruchus","Callosobruchus chinensis","reproductive success (nº offspring)","direct","harassment & mating rate",NA,68.42,7.31,24,61.96,8.41,24,0.806425237658832,0.0910975731114192,-0.23935436422396,0.0447215184651852,-0.14017820022317,0.0434782608695652,0,1.78,1.89,"Low","yes","both","no","oviparous",2,1,"text",10.08,9.08,-0.11,-0.0599634647675572
53,14,"Sakurai",2008,"Insecta","Coleoptera","Chrysomelidae","Callosobruchus","Callosobruchus chinensis","survival","direct","harassment & mating rate",NA,9.86,1.17,24,9.57,1.4,23,0.221011734289707,0.0868589350245954,-0.210309593253719,0.0459835646662274,-0.180456630104038,0.0444664031620553,0,1.78,1.89,"Low","yes","both","no","oviparous",1,2,"text",10.08,9.08,-0.11,-0.0599634647675572
54,14,"Sakurai",2008,"Insecta","Coleoptera","Chrysomelidae","Callosobruchus","Callosobruchus chinensis","survival","direct","harassment & mating rate",NA,9.86,1.17,24,10.67,1.4,24,-0.617539063026261,0.088262975806144,-0.10051859111243,0.0447822731612291,-0.179468487811548,0.0434782608695652,0,1.78,1.89,"Low","yes","both","no","oviparous",2,2,"text",10.08,9.08,-0.11,-0.0599634647675572
55,15,"Flay",2014,"Insecta","Coleoptera","Curculionidae","Sitophilus","Sitophilus oryzae","fecundity (nº eggs)","direct","OSR","5x",270.065075921909,43.2155081541446,10,119.088937093276,57.62067753886,10,2.83883486938559,0.425192150576673,-1.10647443984106,0.137082387133347,-0.28768207245179,0.111111111111111,0,1.0282,1.1347,"High","no","both","no","oviparous",1,1,"fig3",60.01,80.46,-0.1065,-0.0985585981755395
56,15,"Flay",2014,"Insecta","Coleoptera","Curculionidae","Sitophilus","Sitophilus oryzae","fecundity (nº eggs)","direct","OSR","10x",270.065075921909,43.2155081541446,10,93.709327548807,32.9261014507771,10,4.39615597072431,0.730808733641821,-0.786531505171062,0.126017393984685,0.271933715483635,0.111111111111111,0,1.0282,1.1347,"High","no","both","no","oviparous",2,1,"fig3",60.01,80.46,-0.1065,-0.0985585981755395
57,16,"Grieshop",2014,"Insecta","Diptera","Drosophilidae","Drosophila","Drosophila ananassae","fecundity (nº eggs)","direct","spine length",NA,45.4,19.32,49,37.3,22.8525709713371,51,0.379857034197911,0.0408127293429996,-0.364024909114338,0.0314725255246191,-0.167506130716805,0.0204166666666667,0,1.19,1.37,"High","no","direct","no","oviparous",0,0,"table1",77.9,70.25,-0.18,-0.140857432716596
58,16,"Grieshop",2014,"Insecta","Diptera","Drosophilidae","Drosophila","Drosophila ananassae","fecundity (nº eggs)","direct","spine length",NA,30.2,16.7757741997203,26,21.7,14.2262644429239,26,0.538260450289872,0.0804896076931763,-0.165683694890404,0.0683986224198903,0.164845968944006,0.04,0,1.19,1.37,"High","no","direct","no","oviparous",0,0,"table2",77.9,70.25,-0.18,-0.140857432716596
59,17,"Chenoweth",2015,"Insecta","Diptera","Drosophilidae","Drosophila","Drosophila serrata","fecundity (nº eggs)","direct","male harassment",NA,13.4492753623188,8.63655279080611,30,7.37391304347826,7.11245523948737,30,0.757955187303822,0.0721866124968613,-0.406820706319326,0.0792397311531114,0.194156014440959,0.0344827586206897,0,1.19,1.3,"High","yes","indirect","no","oviparous",0,0,"fig2",49.2,72.9,-0.11,-0.0884109573440531
60,18,"Carrillo",2012,"Insecta","Diptera","Muscidae","Musca","Musca domestica","fecundity (nº eggs)","direct","OSR","2x",63.5164835164835,21.3899341724773,37,78.2417582417583,20.0530632866975,37,-0.702829806102985,0.0577724324839789,0.273042563877168,0.0326182192006509,0.0645385211375682,0.0277777777777778,0,4.81,5.71,"Low","no","indirect","no","oviparous",1,1,"fig2",26.675,28.45,-0.9,-0.171521939550249
61,18,"Carrillo",2012,"Insecta","Diptera","Muscidae","Musca","Musca domestica","fecundity (nº eggs)","direct","OSR","5x",63.5164835164835,21.3899341724773,37,74.945054945055,21.3899341724771,37,-0.528708472168654,0.0563003211886605,0.165455789171094,0.0330444386324781,8.65973959207622e-15,0.0277777777777778,0,4.81,5.71,"Low","no","indirect","no","oviparous",2,1,"fig2",26.675,28.45,-0.9,-0.171521939550249
62,18,"Carrillo",2012,"Insecta","Diptera","Muscidae","Musca","Musca domestica","offspring viability","direct","OSR","2x",24.0495867768595,17.594767649623,37,32.9752066115703,19.6055982381513,37,-0.474156158400326,0.0559460696809345,0.207424565078141,0.051797792825168,-0.108213584640231,0.0277777777777778,0,4.81,5.71,"Low","no","indirect","no","oviparous",1,2,"fig2",26.675,28.45,-0.9,-0.171521939550249
63,18,"Carrillo",2012,"Insecta","Diptera","Muscidae","Musca","Musca domestica","offspring viability","direct","OSR","5x",24.0495867768595,17.594767649623,37,28.3471074380165,18.097475296755,37,-0.238267510597008,0.0547858644184853,0.136236303027751,0.0532596509759767,-0.0281708769666953,0.0277777777777778,0,4.81,5.71,"Low","no","indirect","no","oviparous",2,2,"fig2",26.675,28.45,-0.9,-0.171521939550249
64,19,"Muhlhauser",2002,"Insecta","Diptera","Sepsidae","Sepsis","Sepsis cynipsea","survival","direct","male access",NA,48.2459016393443,10.6229508196721,36,41.2950819672131,12.4140690530615,35,0.595064874675209,0.0594333154832398,-0.311801238260141,0.0329203284233414,-0.156233766379278,0.0289915966386555,0,1.36,1.42,"High","yes","both","no","oviparous",0,1,"fig1",19.225,16.243,-0.0599999999999998,-0.0431721718652085
